Name,Description,Yes,No,Yes-Endorsements,No-Endorsements
Measure 26-174,"Five year levy: Oregon Historical Society Library, Museum, educational programs","Renew the levy, which remains at $.05 per $1,000 assessed property value (a home assessed at $200,000 continues to pay $10 a year).",The levy is not a renewed.,Yes for Oregon History,
Measure 26-173,"Temporary Motor Vehicle Fuel Tax for Street Repair, Traffic Safety.","Adopts  a four year, 10 cents per gallon fuel tax dedicated to street repair, safety (including safer crossings, sidewalks)?",The fuel tax is not adopted.,"Fix Our Streets Portland, City Club of Portland","Lila Leathers, Taxpayer Association of Oregon, Paul Romain"
